Production_Year,States_In_Number,Variety_Rank,Modal Price
2016,7,87,4663.333333333333
2016,8,39,4684.743682371902
2016,8,44,4783.645833333333
2016,8,55,4519.791666666667
2016,8,57,4643.7560862281625
2016,8,65,4616.12912119266
2016,8,67,4737.821535637779
2016,9,57,4713.026179839739
2016,9,65,4481.891383206663
2016,9,70,4901.963436432494
2016,9,84,5200.0
2016,10,57,4817.402763395956
2016,10,65,4347.3268791864975
2016,10,70,4870.937506937675
2017,0,57,4805.416666666667
2017,0,73,5377.222222222223
2017,1,9,4629.087143377091
2017,1,14,5286.0
2017,1,29,5018.599724491495
2017,1,42,5050.0
2017,1,45,4754.166666666667
2017,1,53,4550.0
2017,1,56,4589.48114846623
2017,1,57,4698.155488789816
2017,1,65,4407.661911819807
2017,1,68,5500.0
2017,1,69,4160.0
2017,1,75,4400.0
2017,1,79,5800.0
2017,2,9,4156.25
2017,2,29,4241.724598930482
2017,2,39,4113.696969696969
2017,2,45,4376.435185185186
2017,2,57,4718.7527335752075
2017,2,68,4596.415013227514
2017,2,69,5837.206349206349
2017,2,84,4518.518518518519
2017,2,86,6525.0
2017,3,39,5221.341666666666
2017,3,50,5100.478820918203
2017,3,56,4576.958333333333
2017,3,57,5048.415051826809
2017,3,65,4985.687138519375
2017,3,75,5565.788439955107
2017,3,83,5527.666666666668
2017,3,86,5888.17751028641
2017,4,14,5322.134102564102
2017,4,29,4217.079861111111
2017,4,36,5319.7300000000005
2017,4,43,5903.75
2017,4,46,4869.246190476189
2017,4,51,5184.847652643195
2017,4,52,4728.357142857143
2017,4,57,4821.113333333333
2017,4,58,5293.38449328536
2017,4,66,5231.3257194807875
2017,4,67,4631.847619047619
2017,4,72,5530.186507936508
2017,4,74,5464.461248917749
2017,4,90,6300.625
2017,5,48,5347.795306001189
2017,5,49,5333.263696679137
2017,5,56,5161.583314904909
2017,5,57,4996.996435219907
2017,5,64,5205.168777294567
2017,5,76,5249.42469944897
2017,5,84,5271.384228557982
2017,6,11,4000.0
2017,6,19,4105.0
2017,6,22,4117.142857142857
2017,6,23,5630.0
2017,6,27,3893.5
2017,6,33,3937.5
2017,6,35,4100.0
2017,6,42,4249.722222222223
2017,6,50,4986.666666666667
2017,6,53,4601.257575757575
2017,6,54,5029.538461538462
2017,6,56,4729.392777273403
2017,6,57,4585.823831206129
2017,6,63,4418.373511050353
2017,6,65,4575.889418115425
2017,6,69,4500.0
2017,6,71,4555.0
2017,6,75,4353.333333333333
2017,6,82,4000.0
2017,6,86,4160.0
2017,7,56,5193.75
2017,7,57,5288.521118303781
2017,7,65,5091.5953947368425
2017,7,70,5402.969856151688
2017,7,87,4506.5
2017,8,39,5280.0507200289585
2017,8,44,5185.857142857142
2017,8,55,5376.875
2017,8,57,5284.114612582363
2017,8,65,5330.853056046768
2017,8,67,5363.875372874131
2017,8,86,4700.0
2017,9,57,5287.000801766861
2017,9,65,5005.711356747692
2017,9,70,5375.618073944858
2017,10,57,5471.602635536025
2017,10,65,4902.234389811479
2017,10,70,5686.473333272667
2018,1,9,4410.184722222222
2018,1,29,4534.121148459383
2018,1,56,4281.25431547619
2018,1,57,4479.571428571429
2018,1,65,4203.333333333333
2018,1,73,5607.25
2018,1,81,5754.5
2018,1,89,5707.666666666667
2018,2,29,4346.31487472366
2018,2,39,4512.5461205461215
2018,2,42,4510.007122507122
2018,2,45,4335.555555555556
2018,2,53,5169.7610960281545
2018,2,57,4713.6827598948685
2018,2,68,5337.910975609757
2018,2,69,5273.816017316018
2018,2,73,4154.292929292929
2018,2,78,4910.0
2018,2,81,4634.445998075998
2018,2,82,5159.5
2018,2,84,4528.253968253968
2018,2,86,6204.333333333334
2018,3,39,4991.0378510378505
2018,3,50,4876.165583570719
2018,3,56,4882.636471715418
2018,3,57,4881.762441934906
2018,3,60,5101.0
2018,3,61,5502.5
2018,3,65,4793.703971643436
2018,3,67,5095.593855218855
2018,3,75,5564.114376029004
2018,3,77,4650.3670343137255
2018,3,78,4375.0
2018,3,81,5300.0
2018,3,83,4878.068813131313
2018,3,86,5491.052350049807
2018,4,8,4554.0
2018,4,14,4733.674242424243
2018,4,29,4543.620316786183
2018,4,36,4825.0
2018,4,43,5724.6884615384615
2018,4,44,5383.933333333333
2018,4,46,4706.529426129427
2018,4,51,4818.829181321189
2018,4,52,4727.609761904762
2018,4,57,5395.389682539682
2018,4,58,4823.391565938682
2018,4,66,4887.937968701302
2018,4,67,5107.2708115102
2018,4,72,5499.073665223665
2018,4,74,5628.518848845555
2018,4,90,6525.0
2018,5,4,5594.166666666666
2018,5,11,4625.0
2018,5,18,4617.551020408164
2018,5,42,5175.0
2018,5,48,5063.125000000001
2018,5,49,4980.847626304097
2018,5,56,5186.325565370937
2018,5,57,4916.206543845697
2018,5,59,4844.064714985994
2018,5,64,5022.441652484082
2018,5,65,5149.282356532356
2018,5,73,4648.440813737775
2018,5,76,5249.2069022560045
2018,5,78,4881.229228440623
2018,5,81,5134.426114653321
2018,5,84,5212.997673833628
2018,5,85,5041.0
2018,5,88,5340.68439528308
2018,6,19,4322.833333333334
2018,6,22,4320.0
2018,6,32,5260.5
2018,6,35,4322.5
2018,6,37,4320.0
2018,6,42,4511.092380952381
2018,6,50,4541.5
2018,6,53,4412.6
2018,6,54,4263.333333333333
2018,6,56,4547.953227233124
2018,6,57,4662.204221299534
2018,6,63,4338.415868783069
2018,6,65,4616.253316781257
2018,6,69,4462.5
2018,6,71,4850.0
2018,6,75,4566.666666666667
2018,6,79,4400.0
2018,6,81,5125.0
2018,6,82,4610.0
2018,6,89,5400.0
2018,7,9,5633.202777777777
2018,7,56,5739.827718360071
2018,7,57,5129.973436056769
2018,7,70,5142.037525686486
2018,7,84,5329.819981029649
2018,8,39,5045.396858030493
